gvkey,conm,fyear,ni,at,rect,invt,dpc,oancf
1002,ASML Holding,2014,2645.71,32952.72,8482.31,767.7,949.75,3850.21
1002,ASML Holding,2015,2234.77,33502.43,5270.34,2301.57,841.08,3699.75
1002,ASML Holding,2016,2095.97,32804.68,8235.72,3595.03,933.83,2402.89
1002,ASML Holding,2017,127.35,34713.96,8027.15,4079.72,1443.29,944.46
1002,ASML Holding,2018,-79.54,33970.78,2455.07,442.68,850.93,1579.42
1002,ASML Holding,2019,1749.14,35479.28,9187.27,3507.26,872.13,1096.97
1002,ASML Holding,2020,1651.28,37276.26,3809.1,6653.61,1775.27,2564.71
1002,ASML Holding,2021,1827.93,37899.46,10.97,2667.65,1284.34,4946.75
1002,ASML Holding,2022,1455.25,37339.28,8462.89,171.41,1803.2,2837.03
1002,ASML Holding,2023,2255.76,35665.79,4714.68,4339.42,1756.22,3749.9
1003,DSM-Firmenich,1995,3439.3,47698.99,7070.53,7728.63,1300.92,4509.04
1003,DSM-Firmenich,1996,342.42,50608.47,13932.86,4070.53,1185.48,1747.67
1003,DSM-Firmenich,1997,-311.54,52871.31,4863.27,2097.7,1705.01,2153.36
1003,DSM-Firmenich,1998,538.48,59775.93,7756.19,5596.63,1796.63,2266.31
1003,DSM-Firmenich,1999,4276.1,65414.85,9725.37,3710.14,2681.06,7558.52
1003,DSM-Firmenich,2000,2722.1,57411.92,11229.65,5703.58,3385.68,4659.51
1003,DSM-Firmenich,2001,5364.19,64574.89,454.2,6585.23,1424.2,8328.37
1003,DSM-Firmenich,2002,3626.99,68061.68,5224.67,11607.93,2893.55,6259.04
1003,DSM-Firmenich,2003,5658.39,75892.28,3100.93,2220.94,4129.05,12315.16
1003,DSM-Firmenich,2004,819.35,80434.45,5959.98,6911.94,3733.54,7596.5
1003,DSM-Firmenich,2005,3442.44,83966.54,4127.29,10046.24,3204.27,7975.74
1003,DSM-Firmenich,2006,3979.55,79760.4,3421.78,1674.13,3661.43,10817.77
1003,DSM-Firmenich,2007,4092.54,85548.23,8626.79,16108.03,4105.4,7879.43
1003,DSM-Firmenich,2008,2619.62,94492.37,13814.52,14819.08,2235.04,3222.64
1003,DSM-Firmenich,2009,557.57,85882.28,22074.2,8138.14,3955.77,2544.74
1003,DSM-Firmenich,2010,283.46,83511.24,7568.0,5744.66,3908.77,5184.62
1003,DSM-Firmenich,2011,1434.63,85419.75,23438.65,4943.62,5023.31,4756.01
1003,DSM-Firmenich,2012,7793.66,92998.74,12723.15,3278.05,4673.91,14469.39
1003,DSM-Firmenich,2013,7531.27,98745.06,21462.94,6588.27,2920.08,9771.83
1003,DSM-Firmenich,2014,2780.32,101331.65,13609.07,23044.41,5399.53,4988.13
1003,DSM-Firmenich,2015,3887.01,100533.0,25298.51,5009.83,4054.46,8356.23
1003,DSM-Firmenich,2016,3557.15,113652.08,31334.71,2894.76,3558.85,3172.39
1003,DSM-Firmenich,2017,5014.03,126107.22,25283.6,19544.49,4145.28,6845.55
1003,DSM-Firmenich,2018,2617.7,128903.57,15616.75,12615.11,6761.81,8232.42
1003,DSM-Firmenich,2019,-5186.19,143412.29,17841.71,13693.53,5394.06,3112.13
1003,DSM-Firmenich,2020,4730.26,136354.2,9423.43,10285.37,4573.65,8831.92
1003,DSM-Firmenich,2021,-1072.55,151357.15,28986.67,7513.54,3244.49,4645.22
1003,DSM-Firmenich,2022,18221.03,139016.01,2996.9,13025.73,7632.42,32356.91
1003,DSM-Firmenich,2023,5097.16,146679.23,23889.39,6906.42,7583.43,12721.5
1004,Exor NV,1995,1060.93,44693.12,4780.46,5518.24,1350.32,
1004,Exor NV,1996,684.03,49763.05,9418.03,7427.28,1493.09,1608.25
1004,Exor NV,1997,700.14,49349.3,9974.17,4997.92,1569.76,-936.48
1004,Exor NV,1998,3972.74,50737.19,4888.72,193.52,1595.57,5697.28
1004,Exor NV,1999,762.24,52902.24,12189.28,1561.8,2832.04,2935.07
1004,Exor NV,2000,1040.03,53364.1,2829.08,6600.94,1442.2,2560.93
1004,Exor NV,2001,4624.83,60598.82,7790.51,11619.65,2379.95,7002.81
1004,Exor NV,2002,3264.59,62071.29,11495.23,5422.81,3643.01,4838.73
1004,Exor NV,2003,2240.01,54276.97,7210.74,1663.65,2354.67,4436.85
1004,Exor NV,2004,3135.15,58295.09,17420.08,6675.4,3086.97,4466.95
1004,Exor NV,2005,1620.73,61870.55,10358.58,8861.85,3433.22,3801.45
1004,Exor NV,2006,-209.88,61413.13,13431.89,4555.38,2430.36,814.71
1004,Exor NV,2007,4418.1,64727.29,10338.86,2778.49,3069.83,8400.33
1004,Exor NV,2008,4114.75,64847.01,10319.53,8006.26,2845.87,
1004,Exor NV,2009,2546.73,62682.85,11526.11,4651.99,1795.11,3681.89
1004,Exor NV,2010,6412.5,70039.5,20540.59,6801.78,,
1004,Exor NV,2011,3432.52,75443.56,6899.09,5914.78,3096.46,8407.29
1004,Exor NV,2012,361.87,79412.58,16974.69,11114.12,3244.64,1456.65
1004,Exor NV,2013,5256.6,73226.35,12956.65,1505.91,1679.79,5214.85
1004,Exor NV,2014,3941.38,79383.24,6478.6,3085.02,3510.09,11651.52
1004,Exor NV,2015,5398.98,81559.14,4739.01,8677.32,2376.61,10521.43
1004,Exor NV,2016,3877.45,82931.72,3781.91,11147.05,4417.85,9757.88
1004,Exor NV,2017,3086.14,85385.95,706.01,1726.0,2125.19,7887.82
1004,Exor NV,2018,-1810.45,88819.81,9712.55,5339.06,4109.64,4999.46
1004,Exor NV,2019,5093.7,90639.26,7769.16,9172.93,5346.07,11452.74
1004,Exor NV,2020,3233.9,93481.71,25454.16,4334.17,3140.33,
1004,Exor NV,2021,1133.21,92610.08,10583.24,13742.38,2649.14,3886.36
1004,Exor NV,2022,6763.74,90229.44,14553.82,1660.9,4237.06,12155.97
1004,Exor NV,2023,773.25,100112.36,15246.03,8049.51,3136.51,3615.12
1005,Heineken NV,1995,1783.69,36799.73,5057.72,3335.69,1218.99,
1005,Heineken NV,1996,2104.88,39559.67,8327.66,2955.8,905.24,2775.13
1005,Heineken NV,1997,2227.27,46455.17,9690.68,1631.88,967.86,3033.06
1005,Heineken NV,1998,-86.34,48995.1,2412.8,5760.22,2133.97,2642.52
1005,Heineken NV,1999,3267.1,49964.96,6111.31,6323.5,1697.56,4097.28
1005,Heineken NV,2000,2513.5,51556.24,4870.39,6139.97,2382.95,3682.31
1005,Heineken NV,2001,2027.52,48438.0,7269.47,1435.08,2643.26,4017.49
1005,Heineken NV,2002,3287.62,47319.13,8456.56,3753.96,1533.91,4839.22
1005,Heineken NV,2003,1471.04,49769.0,12044.1,305.56,2571.7,3295.55
1005,Heineken NV,2004,2947.68,52641.1,2298.11,3441.76,1270.76,5172.4
1005,Heineken NV,2005,287.66,53914.48,9244.31,7279.48,1882.37,1668.01
1005,Heineken NV,2006,1040.88,55800.12,12891.47,6480.31,2630.15,3174.53
1005,Heineken NV,2007,-775.22,53996.08,10380.24,3044.38,2588.53,981.91
1005,Heineken NV,2008,4026.82,63029.0,7593.94,1201.66,3350.52,7523.64
1005,Heineken NV,2009,1977.51,60174.69,4933.73,7300.58,2373.94,5266.15
1005,Heineken NV,2010,6487.27,71130.71,15110.36,12653.66,1530.01,4877.82
1005,Heineken NV,2011,4715.03,76796.78,16828.33,14701.11,2798.04,3345.18
1005,Heineken NV,2012,1423.95,84132.84,13974.25,7941.95,4403.93,5066.19
1005,Heineken NV,2013,7424.83,79240.76,18072.51,7011.37,4174.06,9531.1
1005,Heineken NV,2014,3211.34,80285.23,20262.39,11934.78,4339.15,7118.58
1005,Heineken NV,2015,8566.96,82004.0,15856.73,12007.95,1727.56,7191.48
1005,Heineken NV,2016,4215.32,86663.6,33459.02,7354.27,3986.39,4749.37
1005,Heineken NV,2017,8344.02,87883.01,11545.37,5630.24,2657.31,10972.68
1005,Heineken NV,2018,3179.58,91469.01,4945.23,12154.09,3365.42,6861.44
1005,Heineken NV,2019,8526.23,104264.85,13949.75,9254.74,4649.42,14144.67
1005,Heineken NV,2020,3806.26,113633.9,13380.53,13315.43,6765.0,8797.62
1005,Heineken NV,2021,5210.58,108660.54,21945.44,9730.03,4903.88,6537.75
1005,Heineken NV,2022,4325.84,121776.68,20046.69,1266.18,4698.74,13415.86
1005,Heineken NV,2023,3825.05,127641.92,20242.96,3768.18,7318.33,12489.32
1006,ING Groep,1995,1127.04,28931.89,7824.67,3338.53,962.77,640.75
1006,ING Groep,1996,269.31,32289.1,6570.55,1889.97,1316.46,440.41
1006,ING Groep,1997,2551.93,33649.16,6510.21,4309.81,1562.56,3762.05
1006,ING Groep,1998,1951.73,32233.08,4250.17,3519.19,1908.23,3521.43
1006,ING Groep,1999,719.94,33504.39,3042.33,4139.76,1484.34,2765.5
1006,ING Groep,2000,2333.26,38028.19,3643.48,5281.81,1326.44,3433.75
1006,ING Groep,2001,355.33,34529.55,4526.57,2353.93,1379.86,2731.41
1006,ING Groep,2002,2263.19,35791.8,3299.81,5784.19,1936.8,6069.14
1006,ING Groep,2003,1040.11,37284.18,5811.48,1748.66,842.53,2608.25
1006,ING Groep,2004,79.89,40874.07,9847.52,2342.13,1044.54,48.75
1006,ING Groep,2005,561.16,43643.85,5282.68,5243.42,1412.82,1981.18
1006,ING Groep,2006,1300.29,40963.93,6474.54,3029.83,1383.79,1609.58
1006,ING Groep,2007,1218.92,43749.78,4743.05,6888.33,1092.28,2058.37
1006,ING Groep,2008,3596.21,43680.65,1912.59,9282.74,1836.06,4061.55
1006,ING Groep,2009,261.86,49149.09,6217.03,8108.0,2399.72,1965.7
1006,ING Groep,2010,837.66,46041.25,7712.65,4523.36,1688.03,1619.91
1006,ING Groep,2011,999.7,44048.87,4428.91,7108.32,1405.04,1928.62
1006,ING Groep,2012,2269.15,42985.78,7487.59,7460.96,2536.8,4490.23
1006,ING Groep,2013,619.71,39608.78,4759.39,1929.23,1251.97,2351.92
1006,ING Groep,2014,4127.28,41244.85,7461.2,5777.07,1674.09,5081.28
1006,ING Groep,2015,4461.48,39998.08,6848.9,2456.31,880.82,6588.31
1006,ING Groep,2016,485.0,40066.26,139.26,2741.6,1387.79,3942.82
1006,ING Groep,2017,1993.29,37625.25,8823.38,5968.37,2241.1,2587.66
1006,ING Groep,2018,1460.86,41361.76,6783.36,1760.07,1654.6,2561.13
1006,ING Groep,2019,1056.64,45826.41,10021.12,735.67,2040.32,2393.88
1006,ING Groep,2020,701.05,47503.97,3434.01,9094.58,1650.02,2181.36
1006,ING Groep,2021,-343.59,54392.04,4231.11,4398.02,3191.88,4852.38
1006,ING Groep,2022,910.39,51958.73,5471.84,3980.98,2453.96,
1006,ING Groep,2023,2339.9,52555.48,8111.46,4288.74,2680.27,4081.36
1007,Philips NV,1995,1827.2,39517.35,6425.99,5781.48,2232.14,3081.36
1007,Philips NV,1996,1977.97,42444.56,1117.0,1599.68,1267.43,4641.25
1007,Philips NV,1997,1652.52,46252.05,6132.89,6228.92,2396.61,2875.42
1007,Philips NV,1998,1438.43,53360.84,4234.54,10937.05,1687.17,3272.61
1007,Philips NV,1999,3568.05,53525.82,7575.66,8749.75,1364.42,5028.18
1007,Philips NV,2000,2259.16,53641.77,13760.69,595.12,2612.05,5128.53
1007,Philips NV,2001,2468.08,59854.6,12819.66,4104.45,3504.88,3555.13
1007,Philips NV,2002,3184.13,62587.08,7964.05,1792.83,3538.0,6541.2
1007,Philips NV,2003,6900.13,68881.52,15183.14,6469.88,3793.29,
1007,Philips NV,2004,7420.32,69413.67,19342.04,3896.65,3994.23,7258.08
1007,Philips NV,2005,3917.27,72906.22,13738.04,11059.75,3113.92,5688.3
1007,Philips NV,2006,5419.77,68112.46,1317.52,8758.17,1865.69,10081.91
1007,Philips NV,2007,4487.86,70875.94,11085.5,13823.31,3270.74,5250.61
1007,Philips NV,2008,4305.37,73075.34,13769.43,2649.31,2370.5,6633.14
1007,Philips NV,2009,5928.37,74307.72,11349.86,9401.9,3118.65,8189.79
1007,Philips NV,2010,2171.56,74429.61,7430.52,7190.04,2818.64,4403.76
1007,Philips NV,2011,2718.44,75940.09,4552.86,5619.5,1871.89,5713.32
1007,Philips NV,2012,5882.59,83848.79,16222.55,9959.0,1870.62,5916.95
1007,Philips NV,2013,889.57,86358.65,16869.01,364.97,5161.22,6342.15
1007,Philips NV,2014,4291.63,91371.75,12545.44,792.39,4188.05,7643.69
1007,Philips NV,2015,7013.52,86842.53,17859.88,5453.99,2944.9,7511.88
1007,Philips NV,2016,-672.98,88461.85,10897.77,8479.48,4152.4,4249.45
1007,Philips NV,2017,1850.92,93780.72,10389.26,12628.04,3448.28,4038.39
1007,Philips NV,2018,6281.67,104203.3,15630.59,11215.84,2286.96,5672.46
1007,Philips NV,2019,6625.67,108801.36,17599.01,8655.22,3563.91,10919.19
1007,Philips NV,2020,3008.3,103458.36,20940.5,15497.14,2321.43,2402.11
1007,Philips NV,2021,2047.87,114993.22,7620.85,14489.35,3765.96,3147.02
1007,Philips NV,2022,449.53,108930.16,25386.44,2192.28,5689.54,6612.46
1007,Philips NV,2023,3923.32,121460.55,22134.42,15595.84,2878.44,7327.19
1008,Randstad NV,1995,287.87,13587.65,741.4,1659.81,575.49,894.78
1008,Randstad NV,1996,1380.33,13112.61,4204.17,1423.74,389.49,1259.61
1008,Randstad NV,1997,991.82,13634.7,1318.18,1423.12,415.35,1419.55
1008,Randstad NV,1998,1431.7,16059.21,66.01,1876.92,463.32,1903.71
1008,Randstad NV,1999,1321.25,17339.44,1832.34,1127.4,924.79,2400.03
1008,Randstad NV,2000,332.51,17713.6,4074.02,811.69,474.2,985.77
1008,Randstad NV,2001,1455.11,20069.96,1971.79,1643.27,1160.19,3256.15
1008,Randstad NV,2002,1326.23,18899.33,2998.97,3560.57,882.04,1433.33
1008,Randstad NV,2003,759.6,20779.95,3026.78,1791.62,1228.08,
1008,Randstad NV,2004,-170.16,20573.57,3602.47,1639.08,1082.35,821.54
1008,Randstad NV,2005,424.52,22806.5,4556.51,1654.41,1229.61,2589.55
1008,Randstad NV,2006,635.01,23755.25,1804.22,3500.49,887.41,1586.24
1008,Randstad NV,2007,1267.98,26182.73,3111.96,2031.31,1453.2,3340.08
1008,Randstad NV,2008,2154.15,30427.4,6781.72,1500.66,1323.03,2541.21
1008,Randstad NV,2009,1090.88,35926.29,5852.35,4248.79,2006.88,2442.27
1008,Randstad NV,2010,4522.18,41470.18,5420.63,1045.23,1394.38,5805.41
1008,Randstad NV,2011,-53.6,44959.18,10031.7,6389.49,1539.06,630.85
1008,Randstad NV,2012,5.72,45062.02,10562.66,6205.95,2184.02,128.3
1008,Randstad NV,2013,1629.47,47635.88,8456.46,6977.98,1205.2,1796.28
1008,Randstad NV,2014,1386.77,46785.89,10019.18,4875.65,1481.89,1729.94
1008,Randstad NV,2015,4752.8,51129.05,2569.12,8816.15,1306.53,6653.7
1008,Randstad NV,2016,2944.87,56195.21,3882.19,7184.13,2458.67,5570.39
1008,Randstad NV,2017,970.86,63164.54,20035.08,3395.98,2109.03,377.01
1008,Randstad NV,2018,2531.39,67714.52,4526.18,15333.72,2143.7,5316.85
1008,Randstad NV,2019,1370.64,68062.09,8123.42,1113.27,2896.32,4594.28
1008,Randstad NV,2020,378.86,68637.32,15433.1,5186.88,3621.21,2146.83
1008,Randstad NV,2021,-193.45,77498.2,11273.29,7703.97,1779.25,-938.22
1008,Randstad NV,2022,4628.58,76110.18,18720.14,3870.64,3156.76,6568.96
1008,Randstad NV,2023,3918.24,86651.22,3116.93,3632.99,4081.18,12538.52
1009,Wolters Kluwer,1995,2086.28,49852.7,6983.32,8306.85,1777.02,3105.82
1009,Wolters Kluwer,1996,624.77,50367.17,7293.07,6188.21,1241.19,698.97
1009,Wolters Kluwer,1997,3609.05,51118.81,8591.04,8250.42,1636.34,4539.5
1009,Wolters Kluwer,1998,3305.77,50624.44,2885.32,4004.84,1365.75,6088.54
1009,Wolters Kluwer,1999,1883.23,54780.91,5772.81,6383.44,1528.0,3756.59
1009,Wolters Kluwer,2000,1981.71,57799.46,5556.46,5583.11,3171.99,6629.03
1009,Wolters Kluwer,2001,2654.76,57501.68,11771.88,2251.56,1950.28,3724.24
1009,Wolters Kluwer,2002,3314.26,56848.1,2099.59,4017.37,1404.97,5767.94
1009,Wolters Kluwer,2003,367.35,57702.7,6313.89,6408.49,2643.38,3063.16
1009,Wolters Kluwer,2004,1318.35,56006.22,8271.11,3867.98,1141.59,2666.33
1009,Wolters Kluwer,2005,1986.89,62131.55,1932.62,6081.48,1319.33,5679.12
1009,Wolters Kluwer,2006,2213.98,64726.68,15341.53,8259.86,2717.81,1737.8
1009,Wolters Kluwer,2007,-1037.8,68451.93,3528.0,12173.08,1649.46,-1467.22
1009,Wolters Kluwer,2008,418.6,67619.51,28296.76,2853.34,4040.83,880.2
1009,Wolters Kluwer,2009,211.45,72335.21,5438.52,12386.42,2045.47,2006.92
1009,Wolters Kluwer,2010,2538.48,77494.79,18329.94,4122.74,4209.57,5066.95
1009,Wolters Kluwer,2011,7539.03,90450.84,16495.69,3263.27,2712.36,10934.03
1009,Wolters Kluwer,2012,4404.73,101854.76,3326.15,1672.44,3878.6,12303.13
1009,Wolters Kluwer,2013,6717.59,112063.94,12769.26,26179.21,5711.38,13050.65
1009,Wolters Kluwer,2014,-329.2,116964.96,20304.74,9515.45,4349.43,2015.48
1009,Wolters Kluwer,2015,1994.15,124654.73,7412.74,7296.13,2989.59,8430.4
1009,Wolters Kluwer,2016,10465.58,127493.19,31773.17,11849.47,6061.49,14069.92
1009,Wolters Kluwer,2017,14023.39,142212.2,18282.6,25810.26,5098.83,18427.82
1009,Wolters Kluwer,2018,6430.9,144983.5,36818.23,13657.1,,6291.53
1009,Wolters Kluwer,2019,-1759.36,145407.88,32477.13,13134.16,3503.91,-2092.6
1009,Wolters Kluwer,2020,11838.15,160698.69,39063.17,15368.64,6624.05,
1009,Wolters Kluwer,2021,8807.76,152769.9,17600.36,10728.4,3669.32,16631.63
1009,Wolters Kluwer,2022,-2732.79,155872.41,42610.36,12783.96,6567.82,-673.49
1009,Wolters Kluwer,2023,-854.05,164700.02,34328.43,3816.98,5241.03,4487.06
1010,Signify NV,1995,1251.04,49382.08,7218.58,713.42,2937.01,3264.07
1010,Signify NV,1996,546.95,53820.73,3746.09,8776.03,1221.8,222.31
1010,Signify NV,1997,4938.69,55385.94,10749.72,588.67,2662.54,7219.87
1010,Signify NV,1998,1328.15,55603.39,6228.1,8995.18,2522.82,3608.12
1010,Signify NV,1999,4709.54,57074.76,10951.62,4589.49,2133.42,7409.82
1010,Signify NV,2000,4926.97,57306.93,8182.33,3712.87,2345.01,7251.96
1010,Signify NV,2001,3196.53,66886.43,11964.56,6971.22,1416.27,4526.09
1010,Signify NV,2002,4410.46,75393.58,8925.02,6323.17,2616.72,7357.57
1010,Signify NV,2003,-232.56,78423.66,7151.57,8209.25,2335.62,3543.26
1010,Signify NV,2004,8458.55,87954.34,17985.78,3129.78,3223.55,9119.62
1010,Signify NV,2005,6146.42,93729.13,16782.61,3214.37,5554.07,14929.05
1010,Signify NV,2006,4214.75,93007.42,16972.47,4723.13,2990.78,7264.94
1010,Signify NV,2007,1104.34,103573.67,10083.3,10419.81,3087.02,
1010,Signify NV,2008,7313.26,108327.73,24585.66,967.12,5317.66,11800.15
1010,Signify NV,2009,4349.06,102106.04,23693.84,29098.25,5804.83,2651.67
1010,Signify NV,2010,1295.33,104392.59,18392.99,9497.25,4458.9,4839.04
1010,Signify NV,2011,4459.28,106332.77,21599.34,5549.32,3479.45,4101.01
1010,Signify NV,2012,10235.41,113836.13,12230.41,8799.92,6669.13,17457.7
1010,Signify NV,2013,4747.47,123079.97,22491.59,17857.4,2660.15,3197.33
1010,Signify NV,2014,6938.15,132690.28,11874.49,20129.35,4800.16,10848.79
1010,Signify NV,2015,5519.5,137880.76,31507.81,14606.9,8176.7,13837.35
1010,Signify NV,2016,9529.72,135287.97,11378.12,4390.05,7589.63,22843.23
1010,Signify NV,2017,12230.31,141104.15,9282.04,12178.72,6061.18,19232.42
1010,Signify NV,2018,7709.83,159365.74,26982.5,21021.25,7134.34,13270.32
1010,Signify NV,2019,1264.31,164042.27,31959.96,22980.03,9085.66,7475.98
1010,Signify NV,2020,-1860.02,176243.96,48572.93,15515.37,7066.63,262.38
1010,Signify NV,2021,5780.12,185538.08,35785.47,32956.46,7639.96,16196.59
1010,Signify NV,2022,7476.08,198005.23,22252.31,11012.9,5697.89,14124.77
1010,Signify NV,2023,1076.36,219636.76,56756.71,25485.36,10521.71,862.51
1011,Corbion NV,1995,1076.78,39156.76,3928.27,3133.89,1551.29,1996.92
1011,Corbion NV,1996,1924.45,40821.66,9590.92,9354.56,1987.1,2124.42
1011,Corbion NV,1997,1927.64,42224.53,74.33,1083.37,1475.48,4603.36
1011,Corbion NV,1998,2356.49,38967.08,7119.19,4597.7,2276.71,4368.09
1011,Corbion NV,1999,1365.47,44052.53,11627.0,2175.34,2094.25,3257.39
1011,Corbion NV,2000,5231.22,47833.12,4170.67,2621.58,2109.23,8462.11
1011,Corbion NV,2001,3937.42,50420.37,9230.42,4144.68,2793.93,6124.61
1011,Corbion NV,2002,-9.2,52234.54,1304.46,2638.84,,3111.02
1011,Corbion NV,2003,3635.32,50485.92,15040.69,3581.83,1978.02,4368.64
1011,Corbion NV,2004,1725.96,52105.86,5405.95,10358.16,3025.6,3711.13
1011,Corbion NV,2005,3760.29,50592.36,422.15,2916.28,1074.57,6176.82
1011,Corbion NV,2006,2692.7,50333.42,5888.86,6429.57,2460.37,5534.59
1011,Corbion NV,2007,3200.87,51909.08,12352.62,6175.99,1649.77,2801.15
1011,Corbion NV,2008,2380.76,56509.49,9113.71,6712.39,1827.19,4522.13
1011,Corbion NV,2009,1674.62,57983.83,5733.19,4899.58,2238.31,3336.61
1011,Corbion NV,2010,5288.9,61211.99,11772.21,5044.54,3600.99,8419.91
1011,Corbion NV,2011,-446.94,67324.19,4308.47,8843.35,1559.11,861.83
1011,Corbion NV,2012,-1635.02,66907.18,9559.22,8238.8,3364.6,1469.93
1011,Corbion NV,2013,2342.24,76770.58,15372.06,10736.4,4096.81,4634.81
1011,Corbion NV,2014,3953.68,79730.38,10417.22,3901.69,3055.77,7342.05
1011,Corbion NV,2015,1143.66,78756.4,6072.05,9848.0,4488.89,6323.18
1011,Corbion NV,2016,2238.11,70724.71,16656.9,4290.85,3137.24,
1011,Corbion NV,2017,5576.98,77149.36,10622.52,6107.95,4384.66,9211.19
1011,Corbion NV,2018,4435.29,87872.74,7635.74,7185.61,4811.56,8949.68
1011,Corbion NV,2019,4898.33,82153.52,11133.47,12885.21,4077.92,7883.52
1011,Corbion NV,2020,5244.51,94358.29,5999.1,11609.69,5100.24,9902.5
1011,Corbion NV,2021,9489.26,101901.78,17784.93,5723.1,5394.71,16877.02
1011,Corbion NV,2022,4590.41,101282.65,16014.78,3944.48,4403.28,10864.34
1011,Corbion NV,2023,1054.06,113297.6,13818.86,5600.27,6150.3,7311.49
1012,Basic-Fit,1995,468.9,13431.12,2056.68,1536.5,,1444.79
1012,Basic-Fit,1996,1314.41,13946.47,1089.25,3379.46,419.51,1347.99
1012,Basic-Fit,1997,806.32,15047.18,1167.98,2294.48,526.19,891.31
1012,Basic-Fit,1998,833.24,15519.55,5448.4,2559.37,864.36,685.07
1012,Basic-Fit,1999,814.11,17604.13,265.45,2321.51,831.45,1931.48
1012,Basic-Fit,2000,758.0,19126.81,1533.31,2374.14,938.4,1510.18
